home_team,date,plays
CLE,20091027,"[(""MISS James 26' 3PT Jump Shot"", 21.4)]"
DAL,20091027,[]
POR,20091027,[]
LAL,20091027,[]
ATL,20091028,[]
ORL,20091028,[]
TOR,20091028,[]
BOS,20091028,[]
MIA,20091028,[]
MEM,20091028,[]
MIN,20091028,"[(""MISS Harris 20' Jump Shot"", 20.8), (""MISS Jefferson 14' Jump Shot"", 27.5), (""'MISS Yi  Layup'"", 22.9), (""'Flynn Free Throw 1 of 2 (16 PTS)'"", 20.2), (""MISS Lopez 3' Jump Shot"", 34.9), (""Harris 7' Running Bank Shot (14 PTS)"", 26.5), (""MISS Flynn 18' Jump Shot"", 45.0), (""Wilkins 9' Jump Bank Shot (12 PTS)"", 48.0)]"
OKC,20091028,[]
SA,20091028,[]
DEN,20091028,[]
GS,20091028,"[(""MISS Morrow 27' 3PT Jump Shot"", 39.7)]"
LAC,20091028,"[(""MISS Frye 25' 3PT Jump Shot"", 31.4), (""Nash 28' 3PT Jump Shot (22 PTS)"", 27.7), (""MISS Camby 21' Jump Shot"", 23.5), (""MISS Camby 26' 3PT Jump Shot"", 41.7), (""'Frye REBOUND (Off:1 Def:3)'"", 20.3), (""'Barbosa  3PT Jump Shot (17 PTS) (Frye 2 AST)'"", 45.0), (""Butler 29' 3PT Jump Shot (19 PTS)"", 34.6), (""'Nash  Driving Layup (24 PTS)'"", 42.0), (""MISS Gordon 29' 3PT Jump Shot"", 94.2)]"
CHI,20091029,[]
POR,20091029,"[(""MISS Billups 26' 3PT Jump Shot"", 23.9), (""MISS Billups 19' Pullup Jump Shot"", 21.4), (""'Webster REBOUND (Off:0 Def:4)'"", 20.5), (""'MISS Oden Free Throw 1 of 2'"", 32.2), (""'MISS Oden Free Throw 2 of 2'"", 28.2), (""MISS Roy 29' 3PT Jump Shot"", 48.7)]"
