gameid,date,away_team,home_team,box_score
311225018,20111225,BOS,NYK,"[('Chandler,Tyson', '36:48', '1', '.500', '0', '', '5', '.625', '7', '2', '3', '2', '0', '6', '0'), ('Douglas,Toney', '35:04', '8', '.421', '2', '.333', '1', '.500', '19', '0', '2', '4', '3', '0', '2'), (""Stoudemire,Amar'e"", '34:42', '8', '.727', '2', '1.000', '3', '.750', '21', '0', '6', '2', '2', '2', '1'), ('Fields,Landry', '33:52', '3', '.429', '1', '.333', '0', '', '7', '1', '2', '3', '2', '0', '2'), ('Anthony,Carmelo', '33:35', '10', '.588', '4', '.571', '13', '.867', '37', '1', '8', '3', '2', '1', '5'), ('Shumpert,Iman', '22:02', '3', '.231', '0', '.000', '5', '1.000', '11', '1', '4', '1', '0', '0', '2'), ('Walker,Henry', '14:43', '0', '.000', '0', '.000', '0', '', '0', '0', '0', '0', '0', '0', '3'), ('Jeffries,Jared', '12:30', '1', '.333', '0', '', '0', '', '2', '1', '1', '0', '0', '1', '0'), ('Harrellson,Josh', '9:03', '0', '', '0', '', '0', '', '0', '0', '2', '1', '0', '1', '1'), ('Balkman,Renaldo', '7:41', '1', '1.000', '0', '', '0', '', '2', '2', '3', '1', '0', '0', '0'), ('NYK', '240', '35', '.473', '9', '.450', '27', '.794', '106', '8', '31', '17', '9', '11', '16')],[('Rondo,Rajon', '41:16', '11', '.579', '0', '.000', '9', '.750', '31', '1', '5', '13', '5', '0', '5'), ('Allen,Ray', '37:42', '7', '.583', '2', '.667', '4', '1.000', '20', '3', '4', '3', '0', '0', '4'), ('Garnett,Kevin', '37:03', '6', '.462', '0', '', '3', '.500', '15', '1', '8', '3', '0', '1', '3'), (""O'Neal,Jermaine"", '17:11', '2', '.400', '0', '', '2', '.667', '6', '0', '2', '0', '0', '2', '1'), ('Pavlovic,Sasha', '15:07', '0', '', '0', '', '0', '', '0', '0', '1', '1', '0', '0', '0'), ('Daniels,Marquis', '29:48', '2', '.250', '0', '.000', '0', '', '4', '1', '6', '5', '1', '1', '0'), ('Bass,Brandon', '27:36', '9', '.692', '0', '', '2', '1.000', '20', '5', '11', '0', '1', '0', '1'), ('Wilcox,Chris', '14:03', '2', '.667', '0', '', '0', '', '4', '2', '3', '0', '0', '1', '1'), ('Dooling,Keyon', '11:23', '0', '.000', '0', '', '4', '1.000', '4', '0', '1', '3', '0', '0', '2'), ('Bradley,Avery', '8:49', '0', '.000', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '1'), (""Moore,E'Twaun"", '0:04', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('BOS', '240', '39', '.513', '2', '.400', '24', '.774', '104', '13', '41', '28', '7', '5', '18')]"
311225006,20111225,MIA,DAL,"[('Marion,Shawn', '29:18', '6', '.600', '0', '', '0', '', '12', '2', '6', '3', '0', '0', '3'), ('Nowitzki,Dirk', '29:13', '6', '.400', '0', '', '9', '.900', '21', '1', '5', '3', '0', '0', '2'), ('Kidd,Jason', '27:35', '2', '.400', '2', '.400', '3', '1.000', '9', '0', '0', '3', '2', '0', '2'), ('Carter,Vince', '20:41', '2', '.333', '1', '.333', '0', '.000', '5', '0', '2', '3', '0', '0', '2'), ('Haywood,Brendan', '13:38', '0', '.000', '0', '', '0', '', '0', '2', '3', '0', '0', '0', '2'), ('Terry,Jason', '28:49', '9', '.500', '4', '.400', '1', '.500', '23', '0', '1', '3', '2', '0', '0'), ('West,Delonte', '24:38', '3', '.429', '1', '.333', '3', '1.000', '10', '0', '0', '3', '3', '0', '3'), ('Mahinmi,Ian', '15:08', '1', '.333', '0', '', '0', '.000', '2', '1', '4', '0', '0', '0', '0'), ('Cardinal,Brian', '14:27', '0', '.000', '0', '.000', '4', '1.000', '4', '0', '2', '1', '1', '0', '1'), ('Odom,Lamar', '13:03', '1', '.167', '1', '.500', '1', '.333', '4', '1', '4', '1', '1', '0', '2'), ('Wright,Brandan', '10:51', '0', '.000', '0', '', '0', '', '0', '0', '1', '0', '1', '0', '0'), ('Beaubois,Rodrigue', '8:26', '0', '.000', '0', '.000', '0', '', '0', '1', '3', '3', '0', '0', '0'), ('Jones,Dominique', '4:13', '1', '.333', '0', '.000', '2', '1.000', '4', '0', '0', '0', '0', '0', '0'), ('DAL', '240', '31', '.378', '9', '.321', '23', '.767', '94', '8', '31', '23', '10', '0', '17')],[('James,LeBron', '36:16', '11', '.579', '0', '', '15', '.789', '37', '3', '10', '6', '2', '2', '3'), ('Wade,Dwyane', '34:39', '11', '.524', '0', '', '4', '.667', '26', '1', '8', '6', '1', '1', '5'), ('Anthony,Joel', '25:38', '2', '.667', '0', '', '2', '.667', '6', '1', '2', '0', '0', '1', '0'), ('Chalmers,Mario', '24:21', '1', '1.000', '0', '', '1', '1.000', '3', '0', '1', '4', '4', '0', '2'), ('Bosh,Chris', '23:59', '2', '.222', '0', '', '0', '', '4', '1', '7', '1', '1', '1', '2'), ('Haslem,Udonis', '32:16', '3', '.500', '0', '', '3', '.600', '9', '6', '14', '1', '0', '1', '3'), ('Cole,Norris', '23:39', '3', '.375', '1', '1.000', '0', '.000', '7', '0', '2', '0', '1', '0', '4'), ('Jones,James', '18:26', '3', '.500', '3', '.600', '0', '.000', '9', '0', '2', '0', '0', '0', '2'), ('Howard,Juwan', '7:55', '2', '.667', '0', '', '0', '', '4', '2', '2', '0', '0', '0', '0'), ('Battier,Shane', '4:03', '0', '.000', '0', '.000', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('Gladness,Mickell', '2:56', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('Pittman,Dexter', '2:56', '0', '.000', '0', '', '0', '', '0', '0', '1', '0', '0', '0', '0'), ('Harris,Terrel', '2:56', '0', '', '0', '', '0', '', '0', '1', '2', '0', '0', '0', '1'), ('MIA', '240', '38', '.487', '4', '.571', '25', '.694', '105', '15', '51', '18', '9', '6', '22')]"
311225013,20111225,CHI,LAL,"[('Gasol,Pau', '37:37', '6', '.429', '0', '.000', '2', '.333', '14', '2', '8', '3', '0', '3', '1'), ('Bryant,Kobe', '35:24', '11', '.478', '0', '.000', '6', '.857', '28', '0', '7', '6', '2', '0', '8'), ('McRoberts,Josh', '35:20', '3', '.500', '0', '', '0', '.000', '6', '3', '8', '2', '0', '2', '2'), ('Fisher,Derek', '23:23', '1', '.200', '0', '.000', '0', '', '2', '0', '3', '3', '2', '2', '3'), ('Ebanks,Devin', '23:10', '4', '.800', '0', '', '0', '', '8', '0', '1', '2', '0', '0', '0'), ('Blake,Steve', '24:57', '4', '.444', '2', '.333', '2', '.667', '12', '1', '3', '2', '0', '0', '1'), ('World Peace,Metta', '24:50', '2', '.333', '0', '.000', '0', '', '4', '0', '2', '3', '2', '0', '0'), ('Murphy,Troy', '22:43', '3', '.600', '0', '.000', '1', '.500', '7', '5', '8', '1', '0', '1', '1'), ('Goudelock,Andrew', '12:36', '2', '.667', '2', '.667', '0', '', '6', '1', '2', '0', '0', '0', '1'), ('LAL', '240', '36', '.474', '4', '.250', '11', '.550', '87', '12', '42', '22', '6', '8', '17')],[('Deng,Luol', '38:13', '7', '.368', '1', '.250', '6', '1.000', '21', '3', '7', '3', '4', '1', '0'), ('Rose,Derrick', '35:19', '9', '.692', '4', '.667', '0', '', '22', '0', '1', '5', '0', '1', '5'), ('Boozer,Carlos', '32:32', '7', '.538', '0', '', '1', '.250', '15', '1', '6', '2', '1', '1', '2'), ('Noah,Joakim', '28:27', '3', '.250', '0', '', '0', '', '6', '5', '9', '2', '3', '0', '2'), ('Hamilton,Richard', '23:06', '3', '.375', '0', '', '0', '', '6', '1', '2', '3', '2', '0', '0'), ('Brewer,Ronnie', '24:54', '3', '.500', '0', '', '0', '.000', '6', '0', '3', '2', '1', '0', '2'), ('Asik,Omer', '19:33', '1', '.200', '0', '', '1', '1.000', '3', '4', '8', '0', '1', '0', '2'), ('Gibson,Taj', '15:28', '1', '.250', '0', '', '1', '.500', '3', '2', '3', '2', '0', '1', '0'), ('Watson,C.J.', '12:41', '2', '.333', '2', '.667', '0', '', '6', '0', '1', '2', '2', '0', '1'), ('Korver,Kyle', '9:47', '0', '.000', '0', '.000', '0', '', '0', '0', '1', '0', '0', '0', '0'), ('CHI', '240', '36', '.404', '7', '.467', '9', '.643', '88', '16', '41', '21', '14', '4', '14')]"
311225025,20111225,ORL,OKC,"[('Durant,Kevin', '37:02', '11', '.579', '2', '.500', '6', '.545', '30', '1', '5', '6', '2', '0', '4'), ('Westbrook,Russell', '34:04', '6', '.353', '1', '.500', '1', '1.000', '14', '1', '7', '6', '3', '0', '7'), ('Perkins,Kendrick', '29:52', '2', '1.000', '0', '', '2', '1.000', '6', '1', '4', '1', '0', '1', '1'), ('Ibaka,Serge', '23:07', '0', '.000', '0', '', '0', '', '0', '2', '6', '0', '1', '2', '1'), ('Sefolosha,Thabo', '20:54', '3', '.600', '2', '1.000', '0', '', '8', '0', '3', '0', '0', '0', '0'), ('Harden,James', '32:01', '4', '.364', '1', '.250', '10', '.833', '19', '0', '6', '3', '0', '0', '0'), ('Collison,Nick', '21:49', '2', '.667', '0', '', '0', '', '4', '0', '2', '1', '1', '0', '2'), ('Mohammed,Nazr', '16:17', '1', '.250', '0', '', '0', '', '2', '2', '7', '0', '0', '2', '0'), ('Maynor,Eric', '13:56', '3', '.600', '2', '.667', '0', '', '8', '0', '2', '3', '0', '0', '1'), ('Cook,Daequan', '10:58', '2', '.400', '2', '.500', '0', '', '6', '0', '1', '1', '1', '0', '0'), ('OKC', '240', '34', '.472', '10', '.526', '19', '.731', '97', '7', '43', '21', '8', '5', '16')],[('Howard,Dwight', '38:27', '4', '.333', '0', '.000', '3', '.375', '11', '4', '15', '0', '1', '2', '3'), ('Anderson,Ryan', '33:35', '9', '.529', '6', '.500', '1', '1.000', '25', '4', '10', '1', '2', '0', '2'), ('Nelson,Jameer', '30:37', '7', '.538', '0', '.000', '4', '1.000', '18', '1', '1', '6', '0', '0', '4'), ('Turkoglu,Hedo', '29:21', '3', '.300', '2', '.400', '0', '', '8', '2', '3', '4', '2', '0', '2'), ('Richardson,Jason', '28:54', '1', '.100', '0', '.000', '0', '', '2', '0', '3', '2', '0', '0', '3'), ('Redick,J.J.', '22:43', '0', '.000', '0', '.000', '8', '1.000', '8', '0', '3', '1', '0', '0', '0'), ('Davis,Glen', '19:03', '3', '.333', '0', '.000', '0', '', '6', '0', '5', '0', '1', '1', '2'), ('Duhon,Chris', '17:23', '0', '.000', '0', '.000', '0', '', '0', '1', '2', '4', '1', '0', '1'), ('Wafer,Von', '9:11', '2', '1.000', '0', '', '5', '1.000', '9', '0', '0', '0', '0', '0', '0'), ('Clark,Earl', '6:05', '1', '.333', '0', '', '0', '', '2', '2', '3', '0', '0', '1', '1'), ('Richardson,Quentin', '4:41', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('ORL', '240', '30', '.370', '8', '.286', '21', '.808', '89', '14', '45', '18', '7', '4', '18')]"
311225009,20111225,LAC,GSW,"[('Ellis,Monta', '42:42', '6', '.316', '0', '.000', '3', '.500', '15', '2', '4', '8', '1', '0', '4'), ('Lee,David', '35:13', '10', '.526', '0', '', '1', '.500', '21', '4', '12', '2', '0', '1', '4'), ('Curry,Stephen', '33:28', '2', '.167', '0', '.000', '0', '.000', '4', '2', '5', '4', '2', '2', '5'), ('Wright,Dorell', '30:50', '1', '.167', '1', '.167', '5', '1.000', '8', '4', '9', '1', '0', '0', '0'), ('Biedrins,Andris', '20:27', '5', '1.000', '0', '', '0', '', '10', '2', '8', '0', '0', '3', '0'), ('Rush,Brandon', '28:23', '3', '.500', '2', '1.000', '4', '1.000', '12', '0', '3', '0', '1', '2', '1'), ('Thompson,Klay', '19:00', '2', '.250', '1', '.333', '2', '1.000', '7', '1', '3', '1', '0', '0', '2'), ('Udoh,Ekpe', '12:57', '0', '.000', '0', '', '1', '.500', '1', '1', '3', '0', '0', '0', '0'), ('Brown,Kwame', '6:49', '0', '.000', '0', '', '1', '.500', '1', '1', '1', '0', '0', '0', '0'), ('Smith,Ish', '5:22', '3', '.750', '1', '1.000', '0', '', '7', '0', '0', '0', '0', '0', '0'), ('McGuire,Dominic', '3:29', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('Jenkins,Charles', '0:58', '0', '', '0', '', '0', '', '0', '0', '0', '1', '0', '0', '0'), ('Tyler,Jeremy', '0:22', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('GSW', '240', '32', '.390', '5', '.238', '17', '.708', '86', '17', '48', '17', '4', '8', '16')],[('Billups,Chauncey', '38:19', '6', '.316', '3', '.300', '6', '1.000', '21', '0', '5', '4', '0', '0', '1'), ('Paul,Chris', '36:39', '7', '.583', '1', '.333', '5', '.833', '20', '1', '2', '9', '2', '0', '2'), ('Butler,Caron', '36:01', '4', '.400', '1', '.333', '2', '.667', '11', '0', '10', '4', '3', '0', '0'), ('Griffin,Blake', '34:44', '9', '.500', '0', '', '4', '.500', '22', '5', '7', '1', '2', '0', '3'), ('Jordan,DeAndre', '30:31', '1', '.500', '0', '', '4', '.333', '6', '3', '5', '0', '0', '8', '2'), ('Williams,Mo', '22:12', '4', '.500', '0', '.000', '0', '', '8', '0', '3', '3', '2', '0', '1'), ('Cook,Brian', '15:45', '2', '.286', '2', '.500', '2', '1.000', '8', '2', '6', '0', '0', '0', '0'), ('Gomes,Ryan', '14:26', '3', '.750', '0', '.000', '0', '.000', '6', '1', '4', '0', '0', '0', '0'), ('Foye,Randy', '11:23', '1', '1.000', '1', '1.000', '0', '', '3', '1', '1', '1', '0', '0', '1'), ('LAC', '240', '37', '.457', '8', '.348', '23', '.605', '105', '13', '43', '22', '9', '8', '10')]"
311226005,20111226,TOR,CLE,"[('Varejao,Anderson', '32:31', '6', '.500', '0', '', '2', '.667', '14', '7', '10', '1', '1', '0', '1'), ('Jamison,Antawn', '30:43', '6', '.300', '0', '.000', '3', '.500', '15', '3', '7', '2', '0', '0', '0'), ('Irving,Kyrie', '26:01', '2', '.167', '1', '.200', '1', '1.000', '6', '0', '3', '7', '1', '0', '1'), ('Parker,Anthony', '25:54', '3', '1.000', '2', '1.000', '0', '', '8', '0', '2', '0', '0', '0', '0'), ('Casspi,Omri', '20:33', '0', '.000', '0', '.000', '2', '1.000', '2', '0', '1', '2', '1', '0', '1'), ('Gee,Alonzo', '27:59', '5', '.714', '1', '.500', '4', '.800', '15', '2', '3', '3', '3', '0', '2'), ('Sessions,Ramon', '21:59', '6', '.500', '2', '.500', '4', '.800', '18', '1', '4', '6', '1', '0', '1'), ('Gibson,Daniel', '21:34', '3', '.500', '0', '', '0', '', '6', '0', '1', '0', '0', '0', '0'), ('Thompson,Tristan', '17:17', '4', '.667', '0', '', '4', '.667', '12', '2', '5', '0', '0', '0', '0'), ('Hollins,Ryan', '15:29', '0', '.000', '0', '', '0', '', '0', '0', '1', '0', '0', '1', '1'), ('CLE', '240', '35', '.412', '6', '.300', '20', '.714', '96', '15', '37', '21', '7', '1', '7')],[('Johnson,Amir', '32:33', '5', '.714', '0', '', '3', '.750', '13', '4', '13', '3', '1', '3', '3'), ('Calderon,Jose', '30:25', '5', '.556', '3', '.600', '2', '1.000', '15', '2', '6', '11', '0', '0', '1'), ('Bargnani,Andrea', '30:06', '5', '.417', '1', '.250', '2', '1.000', '13', '0', '6', '2', '0', '0', '0'), ('DeRozan,DeMar', '25:51', '7', '.538', '0', '.000', '1', '.500', '15', '0', '2', '2', '1', '0', '0'), ('Butler,Rasual', '11:54', '1', '.250', '1', '.250', '0', '', '3', '0', '1', '2', '0', '0', '0'), ('Johnson,James', '36:06', '2', '.500', '1', '1.000', '0', '', '5', '0', '6', '5', '2', '3', '4'), ('Barbosa,Leandro', '22:09', '5', '.357', '1', '.333', '3', '1.000', '14', '0', '0', '4', '0', '0', '2'), ('Davis,Ed', '17:54', '7', '1.000', '0', '', '0', '', '14', '4', '7', '2', '0', '2', '0'), ('Bayless,Jerryd', '17:35', '4', '.500', '2', '.667', '0', '', '10', '0', '1', '3', '0', '0', '1'), ('Magloire,Jamaal', '15:27', '1', '1.000', '0', '', '0', '', '2', '1', '3', '1', '0', '1', '1'), ('TOR', '240', '42', '.532', '9', '.429', '11', '.846', '104', '11', '45', '35', '4', '9', '12')]"
311226011,20111226,DET,IND,"[('Collison,Darren', '36:30', '3', '.273', '2', '.667', '0', '', '8', '0', '0', '5', '2', '1', '2'), ('Granger,Danny', '35:29', '6', '.333', '2', '.500', '2', '.500', '16', '1', '4', '3', '2', '1', '2'), ('Hibbert,Roy', '32:48', '6', '.545', '0', '', '4', '.800', '16', '4', '14', '2', '0', '3', '1'), ('West,David', '31:25', '3', '.250', '0', '', '5', '.833', '11', '7', '12', '3', '0', '2', '1'), ('George,Paul', '29:06', '3', '.375', '2', '.667', '4', '1.000', '12', '1', '7', '2', '1', '1', '2'), ('Hansbrough,Tyler', '31:47', '6', '.429', '0', '', '3', '.750', '15', '5', '13', '0', '1', '0', '0'), ('Hill,George', '24:24', '2', '.286', '0', '.000', '0', '', '4', '0', '1', '4', '2', '0', '1'), ('Jones,Dahntay', '12:31', '3', '.500', '1', '1.000', '0', '', '7', '0', '1', '0', '0', '1', '0'), ('Stephenson,Lance', '6:00', '0', '', '0', '', '2', '1.000', '2', '0', '1', '1', '1', '0', '1'), ('IND', '240', '32', '.368', '7', '.467', '20', '.800', '91', '18', '53', '20', '9', '9', '10')],[('Jerebko,Jonas', '37:57', '7', '.636', '0', '.000', '3', '.750', '17', '2', '5', '1', '1', '1', '0'), ('Prince,Tayshaun', '33:37', '3', '.300', '0', '.000', '0', '', '6', '0', '3', '2', '0', '1', '0'), ('Gordon,Ben', '33:31', '4', '.286', '1', '.250', '5', '.833', '14', '1', '4', '2', '0', '1', '5'), ('Stuckey,Rodney', '33:02', '5', '.455', '2', '.667', '5', '1.000', '17', '0', '3', '6', '2', '1', '3'), ('Monroe,Greg', '21:39', '3', '.429', '0', '', '2', '1.000', '8', '3', '7', '1', '1', '0', '0'), ('Wallace,Ben', '19:43', '1', '.333', '0', '', '0', '', '2', '2', '7', '1', '0', '3', '1'), ('Maxiell,Jason', '16:41', '0', '.000', '0', '', '0', '', '0', '0', '0', '0', '0', '1', '0'), ('Knight,Brandon', '16:33', '3', '.333', '3', '.500', '0', '', '9', '0', '1', '0', '1', '0', '4'), ('Daye,Austin', '14:23', '0', '.000', '0', '.000', '0', '', '0', '0', '7', '1', '0', '0', '1'), ('Bynum,Will', '12:54', '1', '.200', '1', '.500', '3', '.750', '6', '1', '3', '3', '0', '0', '2'), ('DET', '240', '27', '.360', '7', '.368', '18', '.857', '79', '9', '40', '17', '5', '8', '16')]"
311226019,20111226,HOU,ORL,"[('Howard,Dwight', '37:06', '9', '.600', '0', '', '3', '.600', '21', '2', '7', '3', '0', '3', '2'), ('Turkoglu,Hedo', '35:18', '10', '.714', '3', '.750', '0', '', '23', '1', '6', '4', '0', '0', '3'), ('Richardson,Jason', '32:45', '5', '.625', '0', '.000', '0', '', '10', '0', '3', '1', '0', '0', '2'), ('Nelson,Jameer', '30:23', '1', '.167', '0', '.000', '0', '', '2', '0', '3', '6', '1', '0', '2'), ('Anderson,Ryan', '27:35', '3', '.333', '2', '.250', '0', '', '8', '2', '5', '1', '0', '1', '0'), ('Redick,J.J.', '28:15', '8', '.667', '3', '.750', '1', '1.000', '20', '0', '2', '2', '0', '0', '0'), ('Davis,Glen', '21:08', '5', '.455', '0', '', '3', '.750', '13', '1', '4', '0', '0', '0', '1'), ('Duhon,Chris', '17:37', '2', '.500', '1', '1.000', '0', '', '5', '0', '1', '2', '0', '0', '1'), ('Wafer,Von', '8:27', '1', '.250', '0', '.000', '0', '', '2', '0', '4', '0', '0', '0', '0'), ('Harper,Justin', '1:26', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('ORL', '240', '44', '.530', '9', '.409', '7', '.700', '104', '6', '35', '19', '1', '4', '11')],[('Scola,Luis', '38:02', '8', '.444', '0', '', '3', '.750', '19', '3', '7', '3', '0', '0', '1'), ('Lowry,Kyle', '36:29', '5', '.417', '1', '.167', '9', '.900', '20', '1', '7', '12', '1', '1', '3'), ('Martin,Kevin', '32:39', '1', '.100', '0', '.000', '2', '1.000', '4', '0', '0', '1', '1', '0', '0'), ('Budinger,Chase', '20:23', '1', '.200', '0', '.000', '1', '1.000', '3', '0', '3', '2', '0', '0', '1'), ('Hill,Jordan', '19:48', '3', '1.000', '0', '', '0', '', '6', '4', '6', '1', '0', '1', '1'), ('Williams,Terrence', '26:34', '5', '.417', '2', '.400', '1', '.500', '13', '0', '6', '2', '0', '0', '0'), ('Lee,Courtney', '23:53', '6', '.600', '2', '.667', '1', '1.000', '15', '0', '3', '1', '0', '0', '1'), ('Dalembert,Samuel', '19:48', '5', '.833', '0', '', '0', '', '10', '2', '5', '0', '2', '3', '1'), ('Dragic,Goran', '11:31', '2', '.500', '1', '.500', '0', '', '5', '1', '3', '4', '0', '0', '0'), ('Adrien,Jeff', '6:33', '0', '', '0', '', '0', '', '0', '0', '1', '0', '0', '0', '1'), ('Morris,Marcus', '4:20', '0', '.000', '0', '.000', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('HOU', '240', '36', '.439', '6', '.222', '17', '.850', '95', '11', '41', '26', '4', '5', '9')]"
311226027,20111226,NJN,WAS,"[('Wall,John', '39:13', '3', '.231', '0', '', '7', '.538', '13', '3', '8', '5', '3', '1', '4'), ('Blatche,Andray', '38:44', '5', '.385', '0', '', '1', '.500', '11', '0', '10', '3', '0', '1', '2'), ('Crawford,Jordan', '27:53', '7', '.583', '0', '.000', '1', '1.000', '15', '1', '3', '1', '1', '0', '1'), ('McGee,JaVale', '25:32', '5', '.455', '0', '', '1', '.167', '11', '3', '6', '0', '1', '3', '1'), ('Lewis,Rashard', '24:52', '2', '.250', '0', '.000', '5', '.833', '9', '1', '2', '0', '0', '0', '0'), ('Turiaf,Ronny', '22:16', '1', '1.000', '0', '', '0', '', '2', '0', '5', '2', '1', '1', '3'), ('Singleton,Chris', '21:44', '1', '.333', '1', '.500', '0', '', '3', '0', '2', '0', '2', '1', '0'), ('Young,Nick', '17:37', '6', '.667', '0', '', '4', '1.000', '16', '0', '2', '0', '0', '0', '0'), ('Booker,Trevor', '8:58', '0', '.000', '0', '', '2', '1.000', '2', '0', '1', '0', '0', '0', '0'), ('Mack,Shelvin', '8:15', '0', '.000', '0', '.000', '0', '', '0', '0', '0', '1', '0', '0', '0'), ('Mason,Roger', '4:57', '1', '1.000', '0', '', '0', '', '2', '0', '0', '1', '0', '0', '0'), ('WAS', '240', '31', '.419', '1', '.143', '21', '.618', '84', '8', '39', '13', '8', '7', '11')],[('Williams,Deron', '39:54', '8', '.364', '4', '.333', '3', '1.000', '23', '3', '8', '9', '1', '1', '4'), ('Humphries,Kris', '38:50', '9', '.643', '0', '', '3', '.750', '21', '7', '16', '2', '1', '0', '1'), ('James,Damion', '38:15', '2', '.286', '0', '', '2', '1.000', '6', '3', '14', '0', '0', '1', '1'), ('Petro,Johan', '25:22', '5', '.625', '0', '', '1', '.500', '11', '0', '5', '0', '0', '1', '2'), ('Morrow,Anthony', '25:06', '4', '.333', '2', '.286', '6', '1.000', '16', '0', '1', '0', '0', '0', '1'), ('Okur,Mehmet', '20:24', '0', '.000', '0', '.000', '0', '', '0', '1', '5', '2', '1', '0', '1'), ('Gaines,Sundiata', '18:24', '3', '.375', '0', '.000', '1', '.333', '7', '0', '4', '4', '2', '0', '1'), ('Williams,Shawne', '10:48', '0', '.000', '0', '.000', '0', '', '0', '2', '2', '0', '0', '0', '2'), ('Williams,Shelden', '8:37', '0', '.000', '0', '', '0', '', '0', '0', '1', '0', '1', '0', '0'), ('Brooks,MarShon', '8:08', '3', '.429', '0', '.000', '0', '', '6', '2', '2', '0', '0', '0', '0'), ('Farmar,Jordan', '5:59', '0', '.000', '0', '', '0', '', '0', '0', '0', '0', '1', '0', '2'), ('Stevenson,DeShawn', '0:12', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('NJN', '240', '34', '.395', '6', '.231', '16', '.800', '90', '18', '58', '17', '7', '3', '15')]"
311226030,20111226,MIL,CHA,"[('Henderson,Gerald', '38:53', '7', '.500', '1', '.500', '3', '1.000', '18', '4', '9', '0', '0', '1', '4'), ('Maggette,Corey', '38:40', '6', '.400', '0', '.000', '0', '.000', '12', '1', '7', '2', '1', '0', '6'), ('Augustin,D.J.', '30:36', '7', '.438', '2', '.250', '3', '.750', '19', '1', '2', '8', '0', '0', '2'), ('Diaw,Boris', '30:01', '4', '.444', '1', '.500', '0', '', '9', '3', '11', '9', '0', '2', '1'), ('White,D.J.', '21:41', '3', '.500', '0', '', '2', '1.000', '8', '0', '5', '1', '0', '1', '0'), ('Walker,Kemba', '20:37', '3', '.300', '0', '.000', '7', '1.000', '13', '2', '7', '3', '1', '0', '0'), ('Mullens,Byron', '19:45', '5', '.714', '0', '', '0', '', '10', '2', '2', '0', '0', '1', '1'), ('Diop,DeSagana', '16:10', '0', '.000', '0', '', '0', '', '0', '2', '8', '1', '1', '1', '0'), ('Carroll,Matt', '9:07', '2', '.400', '0', '.000', '1', '.500', '5', '0', '0', '1', '0', '0', '1'), ('Brown,Derrick', '8:22', '1', '1.000', '0', '', '0', '.000', '2', '0', '1', '2', '0', '0', '0'), ('Biyombo,Bismack', '6:08', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '1'), ('CHA', '240', '38', '.442', '4', '.211', '16', '.762', '96', '15', '52', '27', '3', '6', '16')],[('Dunleavy,Mike', '37:37', '3', '.250', '3', '.375', '4', '1.000', '13', '1', '3', '3', '0', '0', '2'), ('Bogut,Andrew', '37:31', '7', '.500', '0', '', '3', '.750', '17', '2', '9', '2', '2', '1', '1'), ('Jennings,Brandon', '37:11', '8', '.381', '3', '.500', '3', '1.000', '22', '1', '3', '4', '0', '0', '0'), ('Ilyasova,Ersan', '26:40', '1', '.250', '0', '', '0', '', '2', '2', '9', '0', '2', '0', '1'), ('Jackson,Stephen', '17:17', '1', '.200', '1', '.250', '3', '1.000', '6', '0', '1', '1', '1', '0', '3'), ('Livingston,Shaun', '34:44', '6', '.600', '0', '', '2', '.667', '14', '2', '4', '6', '1', '0', '2'), ('Udrih,Beno', '22:40', '5', '.417', '1', '.250', '2', '.500', '13', '0', '1', '3', '0', '0', '1'), ('Gooden,Drew', '13:47', '1', '.250', '0', '.000', '2', '1.000', '4', '0', '5', '2', '0', '1', '1'), ('Sanders,Larry', '11:15', '2', '1.000', '0', '', '0', '', '4', '0', '4', '0', '0', '0', '1'), ('Leuer,Jon', '1:18', '0', '', '0', '', '0', '', '0', '0', '0', '0', '0', '0', '0'), ('MIL', '240', '34', '.405', '8', '.348', '19', '.826', '95', '8', '39', '21', '6', '2', '12')]"
