event,sentence
"('Irving,Kyrie', 'fg3', '4')"," PLAYER_LAST scored _STAT_ in the third quarter, when Cleveland used a 20 STAT run to take a 74 53 lead."
"('Thompson,Tristan', 'trb', '6')",Cavaliers: F PLAYER_FIRST PLAYER_LAST was scoreless and had STAT rebounds in 21 minutes.
"('Love,Kevin', 'pts', '23')",PLAYER_FIRST PLAYER_LAST scored STAT for the Cavaliers.
"('Anthony,Carmelo', 'pts', '19')",PLAYER_FIRST PLAYER_LAST led New York with STAT points and Derrick Rose had 17.
"('Jennings,Brandon', 'pts', '7')","PG PLAYER_FIRST Jennings, signed in the offseason, scored STAT points in 22 minutes."
"('Porzingis,Kristaps', 'pts', '16')",PLAYER_LAST scored STAT points for New York.
"('Lillard,Damian', 'fg', '13')","Portland stretched the lead to as many as STAT in the first half, paced by PLAYER_LAST with 16 points."
"('Lillard,Damian', 'pts', '39')","""With a streak that long, longest in the NBA, we wanted to keep it going,"" said PLAYER_FIRST Lillard, who had STAT points."
"('Gobert,Rudy', 'pts', '12')",PLAYER_FIRST PLAYER_LAST finished with STAT points and 14 rebounds.
"('Gobert,Rudy', 'trb', '14')",PLAYER_FIRST PLAYER_LAST finished with STAT rebounds.
"('POR', 'fg3', '13')","Portland stretched the lead to as many as _STAT_ in the first half, paced by Lillard with 16 points."
"('Johnson,Joe', 'fg3', '3')",PLAYER_LAST answered with a STAT pointer on the other end to put the Jazz back in front.
"('GSW', 'tov', '16')","The star studded Warriors were sloppy, committing 16 turnovers, and got outrebounded 55 35."
"('Green,Draymond', 'pts', '18')","PLAYER_LAST had STAT points, _STAT_ rebounds and six assists, while Klay Thompson was limited to _STAT_ points on 5 of 13 shooting."
"('Green,Draymond', 'trb', '12')","PLAYER_LAST had 18 STAT rebounds and six assists, while Klay Thompson was limited to _STAT_ on 5 of 13 shooting."
"('Green,Draymond', 'ast', '6')","PLAYER_LAST had 18 _STAT_ rebounds and STAT assists, while Klay Thompson was limited to _STAT_ on 5 of 13 shooting."
"('Green,Draymond', 'orb', '5')","PLAYER_LAST had 18 _STAT_ rebounds and six assists, while Klay Thompson was limited to _STAT_ on STAT of 13 shooting."
"('Pachulia,Zaza', 'pts', '2')",C PLAYER_FIRST PLAYER_LAST scored STAT points in his Warriors debut.
"('Gasol,Pau', 'pts', '2')", TIP INS Spurs: PLAYER_FIRST PLAYER_LAST had STAT points in 18 plus minutes of his debut for San Antonio.
"('Leonard,Kawhi', 'fg', '10')",Two time Defensive Player of the Year PLAYER_LAST shot STAT for 21 and made all 15 of his free throws.
"('Leonard,Kawhi', 'ft', '15')",Two time Defensive Player of the Year PLAYER_LAST shot 10 for 21 and made all STAT of his free throws.
"('GSW', 'fg3', '7')","San Antonio led 31 20 after the first, when the Warriors shot 7 for 20 with four baskets by Durant."
