home_team,away_team,date,box_score,play_by_play,article
CLE,BOS,20171017,,"[(""'MISS Brown  3PT Jump Shot'"", 20.7), (""MISS James 26' 3PT Jump Shot"", 23.1), (""MISS Brown 24' 3PT Jump Shot"", 27.7), (""James 2' Layup (29 PTS)"", 25.0), (""'Love  3PT Jump Shot (15 PTS) (James 9 AST)'"", 29.3), (""MISS Brown 25' 3PT Jump Shot"", 43.0), (""MISS Irving 26' 3PT Jump Shot"", 48.7)]",
GSW,HOU,20171017,,"[(""'MISS Tucker  3PT Jump Shot'"", 23.0), (""Ariza 25' 3PT Jump Shot (8 PTS) (Anderson 1 AST)"", 20.6), (""MISS Durant 9' Jump Shot"", 21.0), (""MISS Harden 11' Jump Shot"", 28.9), (""MISS Gordon 28' 3PT Jump Shot"", 47.0), (""MISS Harden 27' 3PT Jump Shot"", 26.7), (""'WARRIORS Rebound'"", 20.1), (""MISS Curry 26' 3PT Jump Shot"", 71.8)]",
WAS,PHI,20171018,,"[(""MISS Redick 25' 3PT Pullup Jump Shot"", 33.5)]",
DET,CHO,20171018,,[],
IND,BRK,20171018,,[],
ORL,MIA,20171018,,[],
BOS,MIL,20171018,,"[(""'MISS Irving  3PT Jump Shot'"", 20.5), (""MISS Horford 27' 3PT Jump Shot"", 20.8), (""MISS Smart 27' 3PT Jump Shot"", 21.3)]",
MEM,NOP,20171018,,[],
DAL,ATL,20171018,,"[(""Powell 25' 3PT Jump Shot (6 PTS) (Barnes 3 AST)"", 20.2), (""'MISS Barnes  3PT Jump Shot'"", 23.2), (""'MISS Matthews  3PT Jump Shot'"", 22.2), (""Barnes 2' Running Layup (14 PTS) (Smith Jr. 10 AST)"", 22.1), (""MISS Schroder 20' Jump Shot"", 27.0), (""'Dedmon  Putback Layup (7 PTS)'"", 27.3)]",
UTA,DEN,20171018,,[],
SAS,MIN,20171018,,"[(""MISS Towns 26' 3PT Jump Shot"", 20.8)]",
SAC,HOU,20171018,,[],
TOR,CHI,20171019,,[],
OKC,NYK,20171019,,[],
LAL,LAC,20171019,,[],
MIL,CLE,20171020,,[],
IND,POR,20171020,,[],
PHI,BOS,20171020,,[],
WAS,DET,20171020,,"[(""MISS Jackson 3' Layup"", 27.4)]",
MIN,UTA,20171020,,"[(""MISS Favors 26' 3PT Jump Shot"", 27.9), (""MISS Teague 1' Layup"", 33.0), (""MISS Butler 1' Layup"", 34.0), (""'Crawford  3PT Jump Shot (17 PTS) (Teague 4 AST)'"", 52.8), (""MISS Gobert 1' Layup"", 35.1), (""MISS Favors 15' Jump Shot"", 35.1), (""MISS Gobert 2' Layup"", 35.1), (""'MISS Johnson  3PT Jump Shot'"", 48.7)]",
DAL,SAC,20171020,,"[(""MISS Barea 25' 3PT Jump Shot"", 33.6)]",
NOP,GSW,20171020,,[],
TOR,PHI,20171021,,[],
CLE,ORL,20171021,,[],
MIA,IND,20171021,,[],
NYK,DET,20171021,,"[(""'Bradley  3PT Jump Shot (5 PTS) (Harris 1 AST)'"", 22.6), (""MISS Porzingis 24' 3PT Jump Shot"", 25.1), (""MISS Tolliver 24' 3PT Jump Shot"", 22.8), (""MISS Tolliver 26' 3PT Jump Shot"", 23.8), (""MISS Sessions 26' 3PT Jump Shot"", 30.1), (""Jackson 9' Driving Floating Jump Shot (11 PTS)"", 22.6), (""Harris 11' Turnaround Jump Shot (31 PTS)"", 22.9)]",
CHI,SAS,20171021,,[],
HOU,DAL,20171021,,[],
MEM,GSW,20171021,,[],
